iter	PRAUC	Logloss
0	0.9309323667	0.5307675019
1	0.9737097486	0.4442818538
2	0.9812298034	0.389097427
3	0.9852677887	0.34541113
4	0.9835671167	0.2975783222
5	0.9849303893	0.2679726646
6	0.9648691832	0.2525565099
7	0.965800879	0.2377627697
8	0.995839911	0.2134650018
9	0.9966628818	0.1762839895
10	0.9976487932	0.1554953943
11	0.9979201783	0.1455681788
12	0.9987033379	0.1321641318
13	0.9990425683	0.1228863986
14	0.9991536795	0.1172616388
15	0.9993212693	0.113257494
16	0.9993862802	0.09743007255
17	0.9994431958	0.09283503881
18	0.9995922805	0.08874882464
19	0.9996882437	0.08390085337
20	0.9997525593	0.07769300221
21	0.9998331465	0.07298451238
22	0.9998453051	0.07033037712
23	0.9998337029	0.06671577151
24	0.9998992859	0.06102136759
25	0.9999059717	0.05849216665
26	0.9999203532	0.05460943063
27	0.9999345401	0.05276244734
28	0.9999481936	0.0498486921
29	0.9999535474	0.04756722143
30	0.9999575662	0.04542382659
31	0.9999670564	0.04390662661
32	0.9999764941	0.04176963699
33	0.9999760899	0.04020717629
34	0.999977649	0.03858919372
35	0.9999804622	0.03629685938
36	0.9999839274	0.03500226685
37	0.9999849259	0.03354644224
38	0.9999875036	0.03124016134
39	0.9999884457	0.0298607479
40	0.999990357	0.02885978465
41	0.9999922009	0.02795941868
42	0.9999935938	0.02723794525
43	0.9999938955	0.02537719171
44	0.9999948309	0.022067721
45	0.9999978516	0.02026782829
46	0.9999977236	0.01932558341
47	0.9999978513	0.01889952879
48	0.9999982931	0.01820906369
49	0.9999984501	0.01788930292
50	0.9999983925	0.01730056095
51	0.9999986037	0.01663236412
52	0.9999988115	0.01636036322
53	0.9999989575	0.01562067659
54	0.9999991301	0.01518064282
55	0.9999991578	0.01459130941
56	0.9999991571	0.01425345772
57	0.9999991718	0.01360419522
58	0.9999991713	0.01315176862
59	0.9999992297	0.01280183599
60	0.9999992857	0.01244706782
61	0.9999992559	0.01194789022
62	0.9999991248	0.01145722638
63	0.9999992849	0.01105920083
